# **Altered States**  

| **Name**         | **Effect**                                                                                                                                              |
|------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------|
| **Entangled**    | The operative cannot perform actions that involve moving. At the start of its activation, roll **1D6 + APL**. On a **6+**, remove this state.           |
| **Bleeding**     | At the start of the operative’s activation, it suffers **1D3 wounds**. Roll **1D6 + APL** at the end of its activation. On a **5+**, remove this state. |
| **Burning**      | At the start of the operative’s activation, it suffers **1 wound**. After 3 Activations, remove this state.                                             |
| **Supressed**    | When this operative would activate, instead skip it's activation and remove this state.                                                                 |
| **Mistbound**    | Treats all terrain as mist zone, if in a mistzone increase density. At the start of its activation, roll **1D6 + APL**. On a **5+**, remove this state. |
| **Electrified**  | At the start of the operative’s activation, it suffers 1D3 wounds and cannot retain critical successes. To remove, spend 1AP to "ground" itself.        |
| **Corrupted**    | Operative loses 1APL and suffers 1 wound at the end of each activation. Roll **1D6 + APL** at the end of its activation. On a **6+**, remove this state.|
| **Disoriented**  | Worsen WS/BS by 1. Roll **1D6 + APL** at the end of its activation. On a **4+**, remove this state.                                                     |

---  

## **Weapon Rules**

| **Name**               | **Effect**                                                                                                                                                 | **PR Modifier** |
|------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------|
| **Shockwave x"**       | If i critical dice is retained, weapon gains blast x" weapon rule. (melee weapons treat as shooting actions against secondary targets)                     | +3              |
| **Agile**              | When resolving attack dices, resolve 1 dice before the fix secuence (if both weapons have this rule, active operative resolves first).                     | N/A             |
| **Fixed Result**       | Attacks made with this weapon can't reroll any dice.                                                                                                       | -2              |
| **Mist-Accuracy**      | This weapon isn't affect by mist's weapon skill penalties.                                                                                                 | N/A             |
| **Drag x"**            | If a critical dice is retained, move the enemy x" in the shortest possible direction towards the active operative.                                         | N/A             |
| **Burning**            | If damage is made to the target during this action, apply burning status to the target.                                                                    | +1              |
| **Bleeding**           | If damage is made to the target during this action, apply bleeding status to the target.                                                                   | +1              |
| **Electrify**          | If damage is made to the target during this action, apply Electrified status to the target.                                                                | +2              |
| **Penetrating x**      | Subtract x from the targets saving stat for this action.                                                                                                   | +2              |
| **Supressing**         | Target operative and active operative roll **1D6 + APL** if active operative score is higher, target becomes supressed.                                    | +3              |
| **Mist Dispersal**     | Clears mist in a 3" radius for one round.                                                                                                                  | N/A             |
| **Psychic Push**       | After attack, **if at least one attack dice inflicted damage**, move the target 2″. Roll one D6, on a **2-**, active suffers 1 wound.                      | N/A             |
| **Life Siphon**        | Select 1 friendly operative visible and within 6". For each dice that deals damage, it heals 1 or 1D3 wounds if it was a critical. Once per turning point. | +2              |
| **Quick Assault**      | *Once per battle*: if this operative hasn't done a shoot action during this activation and performed a charge action, it can resolve two successful or     | +7              |
|                        |  critical hit dice in sequence and add 1dmg to both their damage characteristics.                                                                          |                 |
